person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
60174,11.0,3025,10.99,0.04,0,1,0,0,0,0,0,1,0
32000,5.0,12000,13.85,0.38,0,0,1,0,0,0,0,1,0
36000,20.0,12375,14.27,0.34,0,0,1,0,0,0,0,1,0
75000,2.0,4000,5.79,0.05,1,0,0,0,0,0,0,1,0
114054,3.0,35000,8.9,0.31,1,0,0,0,0,0,0,1,0
107450,11.0,24000,20.86,0.22,0,0,0,0,0,0,1,0,1
52000,8.0,8000,13.99,0.15,0,0,1,0,0,0,0,0,1
45000,5.0,3250,10.62,0.07,0,1,0,0,0,0,0,1,0
58000,11.0,10000,10.65,0.17,0,1,0,0,0,0,0,1,0
21120,3.0,5000,11.71,0.24,0,1,0,0,0,0,0,1,0
43590,8.0,8000,11.83,0.18,0,1,0,0,0,0,0,1,0
30000,1.0,8000,10.0,0.27,0,1,0,0,0,0,0,1,0
66000,3.0,21000,10.37,0.32,0,1,0,0,0,0,0,1,0
60000,1.0,10000,15.99,0.17,0,0,0,1,0,0,0,0,1
54000,4.0,20000,14.84,0.37,0,0,0,1,0,0,0,0,1
25200,2.0,3700,9.62,0.15,0,1,0,0,0,0,0,1,0
53000,13.0,10000,15.96,0.19,0,0,1,0,0,0,0,1,0
40525,8.0,4800,14.65,0.12,0,0,1,0,0,0,0,1,0
96000,8.0,4200,5.99,0.04,1,0,0,0,0,0,0,1,0
42000,7.0,10000,14.59,0.24,0,0,0,1,0,0,0,0,1
30500,0.0,7025,6.54,0.23,1,0,0,0,0,0,0,1,0
31200,0.0,14000,18.09,0.45,0,0,0,0,0,1,0,0,1
42000,6.0,18000,14.65,0.43,0,0,1,0,0,0,0,1,0
29120,2.0,4000,10.75,0.14,0,1,0,0,0,0,0,1,0
147996,10.0,7500,8.0,0.05,1,0,0,0,0,0,0,1,0
26650,6.0,1000,12.53,0.04,0,1,0,0,0,0,0,1,0
113000,6.0,25000,12.53,0.22,0,1,0,0,0,0,0,1,0
66000,3.0,20000,14.42,0.3,0,0,0,1,0,0,0,1,0
28000,7.0,9500,15.62,0.34,0,0,0,1,0,0,0,1,0
59000,11.0,3000,7.9,0.05,1,0,0,0,0,0,0,1,0
37000,0.0,5000,11.49,0.14,0,1,0,0,0,0,0,1,0
22800,2.0,3000,8.9,0.13,1,0,0,0,0,0,0,1,0
91800,7.0,15450,10.91,0.14,0,0,1,0,0,0,0,0,1
29000,0.0,10000,13.75,0.34,0,0,0,0,1,0,0,1,0
42000,2.0,2000,9.25,0.05,0,1,0,0,0,0,0,1,0
30000,15.0,10000,13.49,0.33,0,0,1,0,0,0,0,1,0
65000,12.0,5000,13.99,0.08,0,0,1,0,0,0,0,0,1
90000,3.0,12000,12.29,0.13,0,0,1,0,0,0,0,1,0
44724,7.0,6500,10.96,0.15,0,1,0,0,0,0,0,1,0
57500,3.0,2400,15.23,0.04,0,0,1,0,0,0,0,1,0
73000,4.0,6000,12.53,0.08,0,1,0,0,0,0,0,1,0
31200,1.0,7000,16.35,0.22,0,0,0,0,1,0,0,0,1
52000,7.0,22000,7.51,0.42,1,0,0,0,0,0,0,1,0
140000,3.0,8000,11.71,0.06,0,1,0,0,0,0,0,1,0
118000,5.0,10000,7.14,0.08,1,0,0,0,0,0,0,1,0
82500,3.0,14400,9.32,0.17,1,0,0,0,0,0,0,1,0
12000,0.0,2400,12.68,0.2,0,0,1,0,0,0,0,0,1
248735,4.0,25000,14.11,0.1,0,0,0,1,0,0,0,0,1
102996,4.0,20000,14.54,0.19,0,0,0,1,0,0,0,0,1
81800,6.0,2500,6.39,0.03,1,0,0,0,0,0,0,1,0
25000,8.0,9250,10.75,0.37,0,1,0,0,0,0,0,1,0
10800,8.0,5000,7.88,0.46,1,0,0,0,0,0,0,1,0
21000,3.0,5000,6.99,0.24,1,0,0,0,0,0,0,1,0
57492,1.0,20000,12.53,0.35,0,1,0,0,0,0,0,1,0
84300,4.0,12000,8.88,0.14,0,1,0,0,0,0,0,1,0
54000,2.0,20000,9.91,0.37,0,1,0,0,0,0,0,1,0
57223,0.0,15000,11.83,0.26,0,1,0,0,0,0,0,1,0
15600,3.0,4000,16.32,0.26,0,0,0,0,1,0,0,1,0
50000,6.0,18250,16.7,0.36,0,0,0,0,1,0,0,0,1
90000,5.0,24250,10.62,0.27,0,1,0,0,0,0,0,1,0
48000,5.0,25000,18.43,0.52,0,0,0,0,0,1,0,1,0
47500,2.0,10000,15.96,0.21,0,0,1,0,0,0,0,1,0
54036,3.0,8000,11.36,0.15,0,1,0,0,0,0,0,1,0
45000,1.0,5000,12.68,0.11,0,0,1,0,0,0,0,0,1
102000,5.0,10000,8.59,0.1,1,0,0,0,0,0,0,1,0
40000,1.0,16000,8.88,0.4,0,1,0,0,0,0,0,1,0
32580,0.0,10000,11.14,0.31,0,1,0,0,0,0,0,1,0
33000,2.0,13300,7.66,0.4,1,0,0,0,0,0,0,1,0
48000,1.0,15000,18.64,0.31,0,0,0,0,1,0,0,0,1
31000,5.0,14500,7.88,0.47,1,0,0,0,0,0,0,1,0
49000,1.0,5000,15.62,0.1,0,0,0,1,0,0,0,0,1
15085,2.0,5500,5.99,0.36,1,0,0,0,0,0,0,1,0
68666,7.0,21000,12.69,0.31,0,1,0,0,0,0,0,1,0
96000,8.0,2000,10.38,0.02,0,1,0,0,0,0,0,1,0
81000,2.0,5500,8.0,0.07,1,0,0,0,0,0,0,1,0
70550,8.0,9000,15.05,0.11,0,0,0,1,0,0,0,0,1
99996,0.0,20000,14.22,0.2,0,0,1,0,0,0,0,0,1
39000,2.0,10000,15.2,0.26,0,0,0,1,0,0,0,1,0
42000,9.0,4200,7.9,0.1,1,0,0,0,0,0,0,1,0
29570,6.0,8000,14.42,0.27,0,0,0,1,0,0,0,0,1
60000,6.0,9000,7.14,0.15,1,0,0,0,0,0,0,1,0
63000,5.0,9000,13.72,0.14,0,0,1,0,0,0,0,0,1
34000,2.0,1500,14.61,0.04,0,0,0,1,0,0,0,0,1
65000,3.0,20000,16.77,0.31,0,0,0,1,0,0,0,0,1
65000,5.0,2200,12.42,0.03,0,1,0,0,0,0,0,1,0
60000,7.0,20000,7.9,0.33,1,0,0,0,0,0,0,1,0
138000,2.0,24000,16.35,0.17,0,0,0,0,1,0,0,1,0
148000,0.0,15000,15.65,0.1,0,0,0,1,0,0,0,0,1
28800,1.0,1400,7.9,0.05,1,0,0,0,0,0,0,1,0
42000,1.0,2000,15.62,0.05,0,0,0,1,0,0,0,0,1
28800,1.0,4000,13.92,0.14,0,0,1,0,0,0,0,1,0
38000,0.0,7500,7.88,0.2,1,0,0,0,0,0,0,1,0
42000,2.0,3000,8.94,0.07,1,0,0,0,0,0,0,1,0
29000,6.0,12000,5.42,0.41,1,0,0,0,0,0,0,1,0
60000,4.0,9600,10.08,0.16,0,1,0,0,0,0,0,1,0
43500,0.0,3000,5.42,0.07,1,0,0,0,0,0,0,1,0
38400,3.0,5000,10.99,0.13,0,1,0,0,0,0,0,1,0
25200,0.0,6000,14.59,0.24,0,0,0,1,0,0,0,1,0
39336,6.0,3500,5.42,0.09,1,0,0,0,0,0,0,1,0
114600,7.0,10000,13.06,0.09,0,0,1,0,0,0,0,0,1
33600,9.0,6000,15.58,0.18,0,0,0,1,0,0,0,0,1
130000,6.0,12000,16.49,0.09,0,0,0,1,0,0,0,1,0
83000,5.0,25000,11.12,0.3,0,1,0,0,0,0,0,1,0
68004,5.0,16000,11.26,0.24,0,1,0,0,0,0,0,1,0
44004,5.0,2200,15.65,0.05,0,0,0,1,0,0,0,1,0
16800,3.0,2400,13.98,0.14,0,0,1,0,0,0,0,0,1
77004,6.0,12000,5.79,0.16,1,0,0,0,0,0,0,1,0
26496,1.0,2000,13.61,0.08,0,0,1,0,0,0,0,1,0
210000,6.0,16000,10.62,0.08,0,1,0,0,0,0,0,1,0
54400,8.0,35000,14.27,0.55,0,0,1,0,0,0,0,0,1
51500,2.0,20000,15.65,0.39,0,0,0,1,0,0,0,0,1
26880,0.0,6000,14.84,0.22,0,0,0,1,0,0,0,1,0
51036,7.0,15000,13.16,0.29,0,0,1,0,0,0,0,1,0
100000,1.0,9125,11.11,0.09,0,1,0,0,0,0,0,1,0
65000,19.0,20000,10.25,0.31,0,1,0,0,0,0,0,1,0
30000,3.0,13000,7.88,0.43,1,0,0,0,0,0,0,1,0
37947,5.0,14000,7.9,0.37,1,0,0,0,0,0,0,1,0
71400,14.0,10000,14.27,0.14,0,0,1,0,0,0,0,1,0
