person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
25,23712,9.0,1000,11.49,0.04,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,36100,3.0,8400,11.26,0.23,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
30,19968,3.0,4000,16.45,0.2,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,36000,4.0,8000,10.65,0.22,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,95004,1.0,15000,7.51,0.16,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
22,51600,0.0,10000,9.51,0.19,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
42,52800,3.0,5600,10.99,0.11,14,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
47,65000,9.0,12000,5.42,0.18,17,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
28,90000,7.0,17600,16.35,0.2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36,50000,3.0,3000,11.26,0.06,11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
21,35000,2.0,7200,15.23,0.21,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
24,32000,2.0,1000,13.06,0.03,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
25,96000,2.0,15000,8.88,0.16,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
31,42500,3.0,6500,7.29,0.15,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
29,60000,3.0,1500,12.87,0.03,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
30,77000,5.0,1500,6.39,0.02,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,65000,2.0,15000,10.95,0.23,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
21,59000,1.0,5500,5.42,0.09,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
28,34000,0.0,2600,15.62,0.08,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
27,104371,4.0,15000,16.77,0.14,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
24,70000,1.0,9000,11.83,0.13,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
35,117000,8.0,15000,9.63,0.13,8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
31,34000,2.0,7500,15.58,0.22,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
25,90000,9.0,7750,7.51,0.09,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
29,120000,2.0,35000,8.9,0.29,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,34000,4.0,1800,11.49,0.05,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
29,52000,6.0,7800,10.36,0.15,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
60,45600,1.0,20000,10.0,0.44,26,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
25,96000,5.0,35000,7.49,0.36,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,71000,4.0,5300,11.49,0.07,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,44196,8.0,4000,7.51,0.09,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
29,145000,0.0,14000,16.77,0.1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
27,78500,6.0,8000,8.59,0.1,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
30,30000,14.0,5000,7.14,0.17,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
27,41000,2.0,2000,15.27,0.05,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,67200,6.0,4800,16.7,0.07,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,408000,14.0,6000,12.61,0.01,13,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22,30000,3.0,3500,14.22,0.12,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25,117014,5.0,8400,7.29,0.07,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
35,60000,9.0,24000,12.53,0.4,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
29,58650,5.0,3000,17.19,0.04,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
31,66000,9.0,22000,16.63,0.33,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
32,99996,16.0,7000,7.14,0.07,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,48996,5.0,5000,7.9,0.1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
24,9600,5.0,1000,8.49,0.1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
29,40000,0.0,5000,5.42,0.13,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
51,60000,6.0,8500,5.79,0.14,18,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,36000,4.0,5000,14.61,0.14,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,52000,1.0,8000,11.78,0.15,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
25,55344,2.0,18000,10.99,0.33,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24,36000,5.0,3525,14.59,0.1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
22,80750,1.0,24000,15.99,0.25,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
30,125000,5.0,8000,7.74,0.06,10,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
27,85000,6.0,5500,11.36,0.06,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
36,130000,0.0,18000,11.71,0.14,14,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
21,45000,5.0,10000,7.51,0.22,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
30,120000,14.0,15000,6.17,0.13,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
26,132750,8.0,12000,11.49,0.09,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
28,91800,6.0,10000,16.89,0.09,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25,40000,5.0,6000,7.88,0.15,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
23,57700,7.0,3500,10.65,0.06,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
24,55000,5.0,3100,11.71,0.06,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
21,36000,3.0,5000,12.99,0.14,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,60000,8.0,5000,9.63,0.08,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
22,75000,4.0,15000,13.61,0.2,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
31,31000,0.0,12500,8.94,0.4,8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
31,48000,0.0,4000,13.85,0.08,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22,48000,6.0,9925,9.63,0.21,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
25,69996,9.0,25000,15.21,0.36,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
23,45000,1.0,7200,11.86,0.16,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
21,60000,5.0,7800,9.99,0.13,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,60000,2.0,1000,9.63,0.02,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
27,120000,11.0,10000,11.14,0.08,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,90000,9.0,15000,13.61,0.17,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
21,30000,3.0,8000,16.45,0.27,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
25,67200,3.0,12000,13.49,0.18,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
37,26240,0.0,6600,11.49,0.25,15,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
21,56000,5.0,12000,10.75,0.21,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
36,144000,0.0,7600,15.23,0.05,16,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
35,28080,3.0,9600,13.57,0.34,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
27,109000,7.0,3950,6.03,0.04,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
23,26000,7.0,5000,7.91,0.19,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
51,153000,2.0,25000,15.58,0.16,23,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
30,75000,0.0,15000,12.98,0.2,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
