person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
69000,6.0,10000,15.62,0.14,0,0,0,1,0,0,0,1,0
50648,8.0,8000,6.76,0.16,1,0,0,0,0,0,0,1,0
43000,4.0,18550,11.83,0.43,0,1,0,0,0,0,0,1,0
88000,11.0,3500,13.57,0.04,0,0,1,0,0,0,0,0,1
40000,9.0,3000,11.71,0.07,0,1,0,0,0,0,0,1,0
60000,12.0,5000,15.7,0.08,0,0,0,1,0,0,0,0,1
27302,6.0,3725,12.69,0.14,0,1,0,0,0,0,0,1,0
101000,6.0,25000,16.15,0.25,0,0,0,0,0,1,0,0,1
70553,8.0,15000,13.47,0.18,0,0,1,0,0,0,0,0,1
30000,0.0,1500,16.82,0.05,0,0,0,0,1,0,0,0,1
79112,17.0,4000,10.36,0.05,0,1,0,0,0,0,0,1,0
59004,8.0,24250,11.49,0.41,0,1,0,0,0,0,0,1,0
100000,3.0,15000,10.0,0.15,0,1,0,0,0,0,0,1,0
18864,0.0,3000,10.99,0.16,0,1,0,0,0,0,0,1,0
36500,1.0,14400,15.05,0.39,0,0,0,1,0,0,0,1,0
97000,3.0,6400,15.96,0.07,0,0,1,0,0,0,0,0,1
42000,12.0,3000,8.9,0.07,1,0,0,0,0,0,0,1,0
29000,10.0,9200,7.49,0.32,1,0,0,0,0,0,0,1,0
59000,2.0,18000,16.0,0.31,0,0,0,0,1,0,0,0,1
70550,0.0,7000,15.88,0.08,0,0,0,0,1,0,0,1,0
130000,3.0,5000,12.42,0.04,0,1,0,0,0,0,0,1,0
133000,3.0,9000,13.85,0.07,0,0,1,0,0,0,0,0,1
28000,0.0,5000,11.78,0.18,0,0,1,0,0,0,0,1,0
18701,0.0,4200,14.11,0.22,0,0,0,1,0,0,0,0,1
78000,11.0,12000,16.95,0.15,0,0,0,0,1,0,0,0,1
32647,7.0,10000,11.48,0.31,0,1,0,0,0,0,0,1,0
110000,5.0,15600,15.33,0.14,0,0,0,1,0,0,0,0,1
34000,1.0,5500,13.11,0.16,0,0,1,0,0,0,0,1,0
34000,1.0,4800,11.49,0.14,0,1,0,0,0,0,0,1,0
52000,3.0,3500,6.76,0.07,1,0,0,0,0,0,0,1,0
39600,5.0,4800,12.42,0.12,0,1,0,0,0,0,0,1,0
40000,6.0,5100,13.72,0.13,0,0,1,0,0,0,0,0,1
24000,1.0,1000,17.99,0.04,0,0,0,0,1,0,0,1,0
78000,1.0,18500,15.33,0.24,0,0,0,0,0,1,0,1,0
58000,4.0,12000,11.26,0.21,0,1,0,0,0,0,0,1,0
30996,6.0,8000,7.14,0.26,1,0,0,0,0,0,0,1,0
91200,3.0,5000,13.49,0.05,0,0,1,0,0,0,0,0,1
57175,6.0,16000,17.15,0.28,0,0,0,0,0,1,0,0,1
132000,4.0,10000,12.84,0.08,0,0,1,0,0,0,0,0,1
12000,4.0,2500,12.69,0.21,0,1,0,0,0,0,0,1,0
80000,2.0,6000,19.13,0.07,0,0,0,0,0,1,0,0,1
85000,2.0,16000,14.27,0.19,0,0,1,0,0,0,0,1,0
47000,5.0,10000,11.99,0.21,0,1,0,0,0,0,0,1,0
54400,12.0,18000,12.99,0.28,0,0,1,0,0,0,0,0,1
30000,1.0,4000,14.96,0.13,0,0,0,1,0,0,0,0,1
51200,1.0,13075,16.7,0.26,0,0,0,0,1,0,0,0,1
35325,2.0,6500,15.95,0.18,0,0,0,1,0,0,0,1,0
155867,15.0,8000,12.84,0.05,0,0,1,0,0,0,0,0,1
25320,1.0,10000,14.84,0.39,0,0,0,1,0,0,0,0,1
